sequence,role,archive_entry,export_path,source_sha256,image_sha256,size_bytes,width,height,category,description
15,embedded_image,images/0766a850d69e1c8b8000a14cbe14729fbeec8d10,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-015.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,bee678a53d4b82042f468e1a3097524b2cda9731e05fc5aa57216c48d310f430,27346,394,220,brand_logo,Collision Engineers logo asset.
16,embedded_image,images/3d039180325b0f57a65c95b9fc8f6911446b4b5c,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-016.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,2e85f202506914b8a0609e6f0b12f1a78c30f71b65ac62d53899043c74ff5c19,18477,468,64,job_sheet_ready,Job Sheet READY TO SET UP section crop.
17,embedded_image,images/fd5a69c74db656147bcdfc8f9319d6236babead5,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-017.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,30b27d9718de13e206c67849a5d3a82f0202aa7116571163e03f64ea9d658d1f,41299,542,510,sop_guides_folder,"SOP Guides folder listing including report sending, PCH, AX salvage, SBL, QDOS, and EVA setup guides."
18,embedded_image,images/b7a3ccf6a64170cb6c8d102a298443db0eae0a11,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-018.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,9e7253de8331aa5524844892e9484aeeacb994ca3dd7cdf3759056e70a02cd5c,18318,271,255,sop_guides_folder,Alternate SOP Guides folder screenshot.
19,embedded_image,images/27d8f11faa8a90a9bdb204c4a6110f4bffcb11f1,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-019.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,7fc38daa6eee04f932ccde8c62b03df604d42e075455d81eb4408d6ae02589dd,7840,368,138,outlook_instruction_attachment,Outlook AX new inspection request with attached InspectionRequest file.
20,embedded_image,images/a10bf9cafc5085157c48f97fc18efafa9cee965c,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-020.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,e7247be45911c46905343473e4c57b9f6ed7a450563d19c508c2d9652c2c63e2,199792,3150,1756,brand_logo,Large Collision Engineers logo asset.
21,embedded_image,images/eeb10c671f4e41464b15e302b95617f4abfda30c,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-021.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,6eef368915051c907da8531957cd8c0a029594acb3804c9301be14c468806d2e,39153,480,249,eva_setup_guide,EVA Setup Guide PDF preview showing setup prerequisites and setup steps.
22,embedded_image,images/6da86d8629be7525b5b4a9782e953cbb5dd25db7,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-022.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,fc49f31d6dd30a8404a48361ba10f0d6c1fb839e1271f3d2bfd253ee0718edab,49072,256,358,provider_routing_table,"Provider fee-note/report-routing table with solicitor, email box, reply-to/CC rules."
23,embedded_image,images/5f2d665db98e91a3257126cffb1ffa3bec7a7627,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-023.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,6aed6bc188c4ad52f24bde5a398ecd2be7d8fb115550901937430ab5c4c55c67,48306,469,176,job_sheet_not_ready,Job Sheet 2026 NOT READY YET section with missing evidence notes.
24,embedded_image,images/9d398d246a3fbe5fdf031bb23d6ffcaec307f5d8,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-024.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,86becfe49b41739919ad50597877c17d041edc89567a05d8a14e271c035f2f8b,2628,271,77,closed_files_folder,Closed Files folder indicator.
25,embedded_image,images/faa031a5c08d813ddb7516ca5af65d34e04415bb,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-025.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,762194e0d919698b50cedd50e8756e8c35a170ef1dd46fab2e03c12e00fb5ca6,2061,150,51,job_sheet_folder_action,Create Folder spreadsheet action and local network path crop.
26,embedded_image,images/a0f28916be304522e333fb5a420aa2df28cb9aeb,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-026.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,92a84f8e27f6d0d6a231872286a35a52834171f71b1a78690c0b328453b9923e,105787,286,237,whatsapp_valuation_images,WhatsApp message requesting valuation/right-off input with vehicle images.
27,embedded_image,images/cba793eb2a90d3c5a7787473fab2dbab3e74d2c4,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-027.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,6905a063a43f76fe9bddd1899603f58011520b8d1a2233df38215e973eec8a07,180925,480,455,outlook_logo,Outlook channel marker.
28,embedded_image,images/e6d9466a0e4e98e4b69854ed826c9575bab61ab7,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-028.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,01039929cbddfb193d88b155aee12c9ef144081ca5efd0bf22371b2813d9b7da,16618,302,189,portal_confirmation_email,Estimate Request Confirmation email screenshot.
29,embedded_image,images/25732324d790ceb620ded3af61a57d8d1ea00c17,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-029.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,0c3393c9a68b8e3b4961aa975f78f49ba3167cb76dc3a8068d9da9ed6b90a609,9468,266,36,whatsapp_chaser,WhatsApp chaser requesting images/estimate for a VRM and client.
30,embedded_image,images/cf2ba490f1d4ad5802ec70725238d7297dca3b12,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-030.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,699936d82f1177bfe6f2c470b6843f926d27a2d971ab0712eb9c83cea6552b83,32997,360,155,outlook_logged_sheet,Outlook message with Logged on sheet and Green category labels plus image attachments.
31,embedded_image,images/a2a0aa31e57cce2d217112d433196b152b3bd6cd,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-031.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,51f3aef17fb2cb6f5d35059168440f55ba259b06482b890306942ad7caf9b912,96232,1255,701,box_folder,"Larger Box Repair Estimate Requests folder with uploaded images, Invoice.pdf, and Summary.txt."
32,embedded_image,images/4eab464202e7195e0039f7a104f2e4b50345bcad,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-032.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,1b013215aa46738a7bafedfcd9e33207b85f72bdc3e40565db419969d50d3ebb,93037,1548,739,website_data_spreadsheet,Large Website Data spreadsheet with repair estimate requests and paid/Box folder fields.
33,embedded_image,images/0df6e866a5697731c527e0f5b77bc80e424445ff,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-033.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,f425404517e6415fb098f0a94d2ec677308b6eb2fc3cb496a3cc6e3eb53866b8,266208,571,473,whatsapp_valuation_images,Larger WhatsApp valuation/right-off request with vehicle images.
34,embedded_image,images/b89a96bc50662683f392fdde35ad8307e56d84eb,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-034.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,b967d227a6e395eb46f416ea07c87d53d33d922f64ce3c1ca0fc540f3c50aa45,90764,1531,561,website_data_spreadsheet,Website Data spreadsheet crop with paid/Box folder fields.
35,embedded_image,images/58ce9555ff62de9a654e75957da4669a465a5695,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-035.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,b5add0a41f17c7c01af2b3e4bf6ff10ff72d20ed362ab380721245ffee1165e6,227532,1919,993,eva_setup_guide,Large EVA Setup Guide PDF preview.
36,embedded_image,images/3f5156316f9f9b7ed5bd2ab3d367d2046deb661c,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-036.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,49602ee6710593eca3f52bd28123662ad32d48a99c297a313f7205df12354faa,98679,511,715,provider_routing_table,Large provider fee-note/report-routing table.
37,embedded_image,images/cab5b6378dbaeceb831102c63095ea12759290d5,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-037.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,23df20e192d10f449a25d3ccdfaa589cf99af556af8026b9b880c8b3f079b7cb,28011,619,623,whatsapp_logo,Large WhatsApp channel marker.
38,embedded_image,images/2547c7318165fc7a9529a64a6d22f2df5aa2e20b,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-038.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,69c9d481bc2c6f2f8534ff8ccd51abe3fac05be2347a1c325e5db886b98844b4,20178,531,72,whatsapp_chaser,Large WhatsApp chaser message requesting images/estimate.
39,embedded_image,images/44fd0ab94be04c7f934c84d603c2d99bc9d1e529,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-039.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,8401eea6fbeed0a6dec69952335f977665cda121a568aeaa023c6b09b856c93e,46488,574,228,whatsapp_query,Large WhatsApp supplementary repair query from Agmors Coachworks.
40,embedded_image,images/b8cdbf1834e3b4fd08cb4a39e916d8f35d37b866,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-040.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,d6101fffe9d114f06e342d923d125123c3b7b667341344955111002b5c3ced2b,66331,1275,944,stripe_payment,Large Stripe/Amazon Pay checkout screenshot for a Collision Engineers assessment.
41,embedded_image,images/79c85a989ac7f45aafe36d62efcb12a0a731909e,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-041.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,1103e096dcd18bd5b9afd87a034df26bc6fa7606fb44aa64f96702b661251533,77611,1871,254,job_sheet_ready,"Large Job Sheet READY TO SET UP section with due dates, notes, Create Folder, and Move Up actions."
42,embedded_image,images/b25ada57084a429d7ced9dea5d89643847b2b2c8,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-042.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,23ec93435c74b88aff43a4f93e41d5628d31580964b907ae0586b4eadcbae8cd,177106,1873,703,job_sheet_not_ready,Large Job Sheet NOT READY YET section with missing instruction/images and dated notes.
43,embedded_image,images/4c532cadacc794e9fb52bdd72b55c8fa130765a8,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-043.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,f67ca78918264ca9758c226eee1fc0452bf33ec4157d7592f23531be927cfde8,113236,573,817,repairer_portal_form,"Large repairer portal form showing required contact/VRM fields, comments, and image upload."
44,embedded_image,images/09e42331d7f8a645a4a771b0631c6c855bdcf5ef,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-044.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,4a4fa9ee109330b29936a6eb1637bb4632417e556c2c0d773ff5e37bc889d82d,303051,960,909,outlook_logo,Large Outlook channel marker.
